Symbol,Security,GICS Sector,Date Added,Date Removed,Reason
A,Agilent Technologies,Health Care,2000-06-05,Present,
AA,Alcoa,,,2016-01-01,AA spins off ARNC
AAL,American Airlines Group,,2015-01-01,2024-01-01,Market capitalization change.[29]
AAP,Advance Auto Parts,,2015-01-01,2023-01-01,S&P 500 and S&P 100 constituent Johnson & Johnson offered to exchange the shares of Kenvue held for shares of Johnson & Johnson in a split-off exchange offer.[38]
AAPL,Apple Inc.,Information Technology,1982-11-30,Present,
ABBV,AbbVie,Health Care,2013-01-01,Present,
ABK,Ambac Financial,,2000-01-01,2008-01-01,Market Value Decline[261]
ABMD,Abiomed,,2018-01-01,2022-01-01,S&P 500 constituent Johnson & Johnson acquired Abiomed.[45]
ABNB,Airbnb,Consumer Discretionary,2023-09-18,Present,
ABS,Albertsons,,,2006-01-01,Albertsons acquired by SuperValu and CVS Corp.[269]
ABT,Abbott Laboratories,Health Care,1957-03-04,Present,
ACAS,American Capital,,,2009-01-01,Capitalization rebalance.[255]
ACE,Chubb,,,2016-01-01,"EXR replaces ACE as ACE Ltd acquires Chubb and retains the CB ticker, giving up ACE[157]"
ACGL,Arch Capital Group,Financials,2022-11-01,Present,
ACN,Accenture,Information Technology,2011-07-06,Present,
ACT,Actavis,,1999-01-01,,Unknown missing removal
ADBE,Adobe Inc.,Information Technology,1997-05-05,Present,
ADCT,ADC Telecommunications,,,2007-01-01,Discover Financial Services debuts on New York Stock Exchange.[266]
ADI,Analog Devices,Information Technology,1999-10-12,Present,
ADM,Archer Daniels Midland,Consumer Staples,1957-03-04,Present,
ADP,Automatic Data Processing,Industrials,1981-03-31,Present,
ADS,Alliance Data Systems,,2013-01-01,2020-01-01,Market capitalization change.[72]
ADSK,Autodesk,Information Technology,1989-12-01,Present,
ADT,ADT,,2012-01-01,2016-01-01,ADT acquired by APO[147]
AEE,Ameren,Utilities,1991-09-19,Present,
AEP,American Electric Power,Utilities,1957-03-04,Present,
AES,AES Corporation,Utilities,1998-10-02,Present,
